method1	method2	chi2	p_value	significant	contingency_shape
gmm_gmm_k6	gmm_gmm_genes100	554.0861950118524	4.49908444655872e-101	True	(6, 6)
gmm_gmm_k6	gmm_gmm_genes10	690.0427018033345	1.6703742919272744e-129	True	(6, 6)
gmm_gmm_k6	kmeans_kmeans_genes10000	1441.6760559812403	4.78526875357754e-289	True	(6, 6)
gmm_gmm_k6	kmeans_kmeans_genes1000	1875.8233846153844	0.0	True	(6, 6)
gmm_gmm_k6	kmeans_kmeans_genes100	602.4556532705783	3.684110726651182e-111	True	(6, 6)
gmm_gmm_k6	kmeans_kmeans_genes10	663.4756749091132	6.255767411970954e-124	True	(6, 6)
gmm_gmm_k6	spectral_spectral_genes10000	1041.0977212686303	1.0996857718950578e-203	True	(6, 6)
gmm_gmm_k6	spectral_spectral_genes1000	1169.7875626217565	4.7602412587097584e-231	True	(6, 6)
gmm_gmm_k6	spectral_spectral_genes100	1022.3955280447632	1.028117308698927e-199	True	(6, 6)
gmm_gmm_k6	spectral_spectral_genes10	647.8895642340099	1.1545379255620765e-120	True	(6, 6)
gmm_gmm_k8	kmeans_kmeans_k10	3151.3296466730376	0.0	True	(8, 10)
gmm_gmm_k8	kmeans_kmeans_k2	483.00000000000006	3.614927863297828e-100	True	(8, 2)
gmm_gmm_k8	kmeans_kmeans_k4	1338.3426573426573	1.5033245646003207e-270	True	(8, 4)
gmm_gmm_k8	kmeans_kmeans_k6	2415.0	0.0	True	(8, 6)
gmm_gmm_k8	kmeans_kmeans_k8	3381.0	0.0	True	(8, 8)
gmm_gmm_k8	spectral_spectral_k10	1877.483685548635	0.0	True	(8, 10)
gmm_gmm_k8	spectral_spectral_k2	251.97504456327982	1.0524254109152209e-50	True	(8, 2)
gmm_gmm_k8	spectral_spectral_k4	951.7773000611137	5.1866622707055175e-188	True	(8, 4)
gmm_gmm_k8	spectral_spectral_k6	1353.8886763300557	6.151519598221976e-262	True	(8, 6)
gmm_gmm_k8	spectral_spectral_k8	1421.6231368370443	1.6940633483988796e-265	True	(8, 8)
gmm_gmm_k8	gmm_gmm_genes10000	1773.2893352153753	0.0	True	(8, 6)
gmm_gmm_k8	gmm_gmm_genes1000	1500.3058467189378	5.366502132182911e-293	True	(8, 6)
gmm_gmm_k8	gmm_gmm_genes100	801.5287229744032	9.626731689224084e-146	True	(8, 6)
gmm_gmm_k8	gmm_gmm_genes10	701.8006900145949	4.893857432821982e-125	True	(8, 6)
gmm_gmm_k8	kmeans_kmeans_genes10000	2415.0	0.0	True	(8, 6)
gmm_gmm_k8	kmeans_kmeans_genes1000	1799.1292255276978	0.0	True	(8, 6)
gmm_gmm_k8	kmeans_kmeans_genes100	763.6438531137331	7.311880090973828e-138	True	(8, 6)
gmm_gmm_k8	kmeans_kmeans_genes10	700.5065174463631	9.067552651331812e-125	True	(8, 6)
gmm_gmm_k8	spectral_spectral_genes10000	1353.8886763300557	6.151519598221976e-262	True	(8, 6)
gmm_gmm_k8	spectral_spectral_genes1000	1391.863451425504	5.505482523210469e-270	True	(8, 6)
gmm_gmm_k8	spectral_spectral_genes100	863.009327045746	1.4501279047984114e-158	True	(8, 6)
gmm_gmm_k8	spectral_spectral_genes10	748.3412756170076	1.1022659336266868e-134	True	(8, 6)
kmeans_kmeans_k10	kmeans_kmeans_k2	483.00000000000006	2.504735726230281e-98	True	(10, 2)
kmeans_kmeans_k10	kmeans_kmeans_k4	1449.0	7.5603463626982895e-289	True	(10, 4)
kmeans_kmeans_k10	kmeans_kmeans_k6	2354.5968940282664	0.0	True	(10, 6)
kmeans_kmeans_k10	kmeans_kmeans_k8	3151.329646673037	0.0	True	(10, 8)
kmeans_kmeans_k10	spectral_spectral_k10	2668.300871322308	0.0	True	(10, 10)
kmeans_kmeans_k10	spectral_spectral_k2	482.99999999999994	2.5047357262304245e-98	True	(10, 2)
kmeans_kmeans_k10	spectral_spectral_k4	1188.7700754975976	2.05962084524546e-233	True	(10, 4)
kmeans_kmeans_k10	spectral_spectral_k6	1948.8073899031085	0.0	True	(10, 6)
kmeans_kmeans_k10	spectral_spectral_k8	2322.0094708134925	0.0	True	(10, 8)
kmeans_kmeans_k10	gmm_gmm_genes10000	1934.5626695796186	0.0	True	(10, 6)
kmeans_kmeans_k10	gmm_gmm_genes1000	1733.3298688338689	0.0	True	(10, 6)
kmeans_kmeans_k10	gmm_gmm_genes100	787.4260372454427	2.858953258031038e-136	True	(10, 6)
kmeans_kmeans_k10	gmm_gmm_genes10	753.9910000701058	2.0535389440102265e-129	True	(10, 6)
kmeans_kmeans_k10	kmeans_kmeans_genes10000	2354.5968940282664	0.0	True	(10, 6)
kmeans_kmeans_k10	kmeans_kmeans_genes1000	2041.4391211144123	0.0	True	(10, 6)
kmeans_kmeans_k10	kmeans_kmeans_genes100	786.9014080960015	3.6637202946141295e-136	True	(10, 6)
kmeans_kmeans_k10	kmeans_kmeans_genes10	714.8496750684676	2.068280980441775e-121	True	(10, 6)
kmeans_kmeans_k10	spectral_spectral_genes10000	1948.8073899031085	0.0	True	(10, 6)
kmeans_kmeans_k10	spectral_spectral_genes1000	2074.993421052632	0.0	True	(10, 6)
kmeans_kmeans_k10	spectral_spectral_genes100	912.9965167730411	3.6904658382461696e-162	True	(10, 6)
kmeans_kmeans_k10	spectral_spectral_genes10	797.8223411716408	2.0932759372835357e-138	True	(10, 6)
kmeans_kmeans_k2	kmeans_kmeans_k4	455.0288412017167	2.6524878896610678e-98	True	(2, 4)
kmeans_kmeans_k2	kmeans_kmeans_k6	457.5325533179267	1.165104050466315e-96	True	(2, 6)
kmeans_kmeans_k2	kmeans_kmeans_k8	483.0	3.614927863297931e-100	True	(2, 8)
kmeans_kmeans_k2	spectral_spectral_k10	390.1369931958547	1.7404482809337822e-78	True	(2, 10)
kmeans_kmeans_k2	spectral_spectral_k2	21.54844871875789	3.4500163823899684e-06	True	(2, 2)
kmeans_kmeans_k2	spectral_spectral_k4	152.61608098326016	7.184515923252747e-33	True	(2, 4)
kmeans_kmeans_k2	spectral_spectral_k6	320.2205699570815	4.4878847785158906e-67	True	(2, 6)
kmeans_kmeans_k2	spectral_spectral_k8	234.5958897564507	5.236907936923293e-47	True	(2, 8)
kmeans_kmeans_k2	gmm_gmm_genes10000	483.00000000000006	3.726634504088364e-102	True	(2, 6)
kmeans_kmeans_k2	gmm_gmm_genes1000	483.00000000000006	3.726634504088364e-102	True	(2, 6)
kmeans_kmeans_k2	gmm_gmm_genes100	483.00000000000006	3.726634504088364e-102	True	(2, 6)
kmeans_kmeans_k2	gmm_gmm_genes10	483.0	3.7266345040885766e-102	True	(2, 6)
kmeans_kmeans_k2	kmeans_kmeans_genes10000	457.5325533179267	1.165104050466315e-96	True	(2, 6)
kmeans_kmeans_k2	kmeans_kmeans_genes1000	483.0	3.7266345040885766e-102	True	(2, 6)
kmeans_kmeans_k2	kmeans_kmeans_genes100	483.0	3.7266345040885766e-102	True	(2, 6)
kmeans_kmeans_k2	kmeans_kmeans_genes10	483.0	3.7266345040885766e-102	True	(2, 6)
kmeans_kmeans_k2	spectral_spectral_genes10000	320.2205699570815	4.4878847785158906e-67	True	(2, 6)
kmeans_kmeans_k2	spectral_spectral_genes1000	383.3606425193406	1.142663643610596e-80	True	(2, 6)
kmeans_kmeans_k2	spectral_spectral_genes100	483.00000000000006	3.726634504088364e-102	True	(2, 6)
kmeans_kmeans_k2	spectral_spectral_genes10	483.0	3.7266345040885766e-102	True	(2, 6)
kmeans_kmeans_k4	kmeans_kmeans_k6	1262.835294117647	5.166693103496543e-260	True	(4, 6)
kmeans_kmeans_k4	kmeans_kmeans_k8	1338.3426573426573	1.5033245646003207e-270	True	(4, 8)
kmeans_kmeans_k4	spectral_spectral_k10	1125.4781188003267	5.767319698292817e-220	True	(4, 10)
kmeans_kmeans_k4	spectral_spectral_k2	168.3660130718954	2.8668761813226106e-36	True	(4, 2)
kmeans_kmeans_k4	spectral_spectral_k4	477.5255964343718	3.717572796721786e-97	True	(4, 4)
kmeans_kmeans_k4	spectral_spectral_k6	546.9650454029402	6.402747534308489e-107	True	(4, 6)
kmeans_kmeans_k4	spectral_spectral_k8	443.76251279459893	7.778893308223853e-81	True	(4, 8)
kmeans_kmeans_k4	gmm_gmm_genes10000	1166.7275835968967	2.2890525203208233e-239	True	(4, 6)
kmeans_kmeans_k4	gmm_gmm_genes1000	1042.2020202020203	1.2078335706932644e-212	True	(4, 6)
kmeans_kmeans_k4	gmm_gmm_genes100	551.6788278295601	6.410851444851573e-108	True	(4, 6)
kmeans_kmeans_k4	gmm_gmm_genes10	487.58261660575886	2.387549348143979e-94	True	(4, 6)
kmeans_kmeans_k4	kmeans_kmeans_genes10000	1262.835294117647	5.166693103496543e-260	True	(4, 6)
kmeans_kmeans_k4	kmeans_kmeans_genes1000	1132.215534290271	5.8781192154348375e-232	True	(4, 6)
kmeans_kmeans_k4	kmeans_kmeans_genes100	487.7162809172263	2.2371651546251527e-94	True	(4, 6)
kmeans_kmeans_k4	kmeans_kmeans_genes10	464.78655478688677	1.5612331438344297e-89	True	(4, 6)
kmeans_kmeans_k4	spectral_spectral_genes10000	546.9650454029402	6.402747534308489e-107	True	(4, 6)
kmeans_kmeans_k4	spectral_spectral_genes1000	676.9637141034709	1.5046659785417716e-134	True	(4, 6)
kmeans_kmeans_k4	spectral_spectral_genes100	721.2489422234482	5.487631943646942e-144	True	(4, 6)
kmeans_kmeans_k4	spectral_spectral_genes10	470.88105592306215	8.066370982616557e-91	True	(4, 6)
kmeans_kmeans_k6	kmeans_kmeans_k8	2415.0	0.0	True	(6, 8)
kmeans_kmeans_k6	spectral_spectral_k10	1605.797510922045	2.4569300012619344e-307	True	(6, 10)
kmeans_kmeans_k6	spectral_spectral_k2	94.33448673587081	8.24304532791558e-19	True	(6, 2)
kmeans_kmeans_k6	spectral_spectral_k4	723.6579110286227	1.6813977953405293e-144	True	(6, 4)
kmeans_kmeans_k6	spectral_spectral_k6	993.1045873516462	1.688915171317829e-193	True	(6, 6)
kmeans_kmeans_k6	spectral_spectral_k8	988.0643058594866	9.410079259301104e-185	True	(6, 8)
kmeans_kmeans_k6	gmm_gmm_genes10000	1441.6760559812408	4.7852687535769955e-289	True	(6, 6)
kmeans_kmeans_k6	gmm_gmm_genes1000	1232.6797469719825	1.9136808571111653e-244	True	(6, 6)
kmeans_kmeans_k6	gmm_gmm_genes100	717.5163401935183	2.8275578672213844e-135	True	(6, 6)
kmeans_kmeans_k6	gmm_gmm_genes10	625.7299350356028	5.02413854845058e-116	True	(6, 6)
kmeans_kmeans_k6	kmeans_kmeans_genes10000	2415.0	0.0	True	(6, 6)
kmeans_kmeans_k6	kmeans_kmeans_genes1000	1618.0847687748874	0.0	True	(6, 6)
kmeans_kmeans_k6	kmeans_kmeans_genes100	641.1507758905354	2.976220381349264e-119	True	(6, 6)
kmeans_kmeans_k6	kmeans_kmeans_genes10	630.3520299570641	5.420287732104189e-117	True	(6, 6)
kmeans_kmeans_k6	spectral_spectral_genes10000	993.1045873516462	1.688915171317829e-193	True	(6, 6)
kmeans_kmeans_k6	spectral_spectral_genes1000	1112.2857333830834	8.178979984779007e-219	True	(6, 6)
kmeans_kmeans_k6	spectral_spectral_genes100	797.7111607564617	3.673259416738015e-152	True	(6, 6)
kmeans_kmeans_k6	spectral_spectral_genes10	680.6236776671277	1.5837710243322566e-127	True	(6, 6)
kmeans_kmeans_k8	spectral_spectral_k10	1877.483685548635	0.0	True	(8, 10)
kmeans_kmeans_k8	spectral_spectral_k2	251.97504456327982	1.0524254109152209e-50	True	(8, 2)
kmeans_kmeans_k8	spectral_spectral_k4	951.7773000611137	5.1866622707055175e-188	True	(8, 4)
